name,description,price,category,image_url,stock_quantity,is_available
Lavaseca Carga Frontal LG WD11PVC3S6 AI DD Plateado,No aplica para retiro en tienda. Sólo delivery.AI DD Inteligencia AritificialLavado a vapor6 Motion DD,1899.0,Electrohogar,https://www.metro.pe/lavaseca-carga-frontal-lg-wd11pvc3s6-ai-dd-plateado-1017846/p,32,True
Cocina Indurama Goya 4 Hornillas Negro,No aplica para retiro en tienda. Sólo delivery.4 Quemadores selladosTablero de acero inoxidableParrillas enlozadas,689.0,Electrohogar,https://www.metro.pe/cocina-indurama-goya-4-hornillas-negro-1001496/p,14,True
Refrigeradora Samsung All Around Cooling RS60T5200S9 602L,Capacidad total de 602 litrosCapacidad en el refrigerador de 409 litrosCapacidad en el congelador de 193 litrosPanel digitalAll Around Cooling: Sistema de enfriamiento que mantiene la temperatura uniforme y constanteVentilación de MultiflujoDispensador: Agua / HieloSpaceMax: Mayor espacio de almacenamiento sin aumentar las dimensiones externas ni comprometer la eficiencia energéticaPower Cool / Power Freeze: Enfría y congela alimentos o bebidas de manera rápida con un sólo botónIluminación LEDBandejas de vidrio templadoCompresor Digital Inverter: Ahorra hasta un 40% de energía y reduce el ruidoRefrigerante R600aEficiencia energética: AMedidas (Alt x Anch x Prof): 178 x 91 x 72.6 cmRS60T5200S9/PERS60T5200S9/PE,3999.0,Electrohogar,https://www.metro.pe/refrigeradora-samsung-all-around-cooling-rs60t5200s9-602l-2/p,1,True
Refrigeradora Mabe RMP420FLPG1 420L Black,No aplica para retiro en tienda. Sólo delivery.Capacidad: 420 litrosSistema de Frío: No FrostEstilo: 2 Puertas,1799.0,Electrohogar,https://www.metro.pe/refrigeradora-mabe-rmp420flpg1-420l-black-2/p,38,True
Licuadora Nex CBL-2999 1.5L,No aplica para retiro en tienda. Sólo delivery.Capacidad: 1.5 litrosPotencia: 250 WattsControl de 4 velocidades + PulsoFunción trituradora de hieloCuchillas de acero inoxidable,69.9,Electrohogar,https://www.metro.pe/licuadora-nex-cbl-2999-1-5l-1003455/p,6,True
Lavadora Carga Superior LG WT13DPBK 13kg Smart Motion Gris,No aplica para retiro en tienda. Sólo delivery.Ahorro de EnergíaSmart Motion + TurboDrumAuto Pre Lavado,1399.0,Electrohogar,https://www.metro.pe/lavadora-carga-superior-lg-wt13dpbk-13kg-smart-motion-gris-1001461/p,13,True
Enfriador de Aire Nex 5L 50W,Capacidad: 5 litrosPotencia: 50WEnfriador de aireBajo nivel de ruidoMedida (Alt): 85 cmTemporizador de 7 horas,269.9,Electrohogar,https://www.metro.pe/enfriador-de-aire-nex-5l-50w-1013961/p,38,True
"Ventilador Box 16"" Nex VBX1624B 50W",Potencia: 50WSelector de 3 velocidadesAjustable en inclinaciónCon 5 aspas plásticas,74.9,Electrohogar,https://www.metro.pe/ventilador-box-16-nex-vbx1624b-50w-1013958/p,8,True
Horno Eléctrico Thomas Th-75N01,No aplica para retiro en tienda. Sólo delivery.Potencia 2200 Watts | Capacidad 75 litros Timer 120 minutos con apagado automático Bandeja de residuos | Parrilla removible | Interior antiadherente,629.0,Electrohogar,https://www.metro.pe/horno-electrico-thomas-th-75n01-1009149/p,9,True
Soundbar Samsung 2-0 CH HW-C400,No aplica para retiro en tienda. Sólo delivery.Woofer IntegradoConexión de BluetoothExpansion de sonido envolvente,399.0,Tecnología,https://www.metro.pe/soundbar-samsung-2-0-ch-hw-c400-990882/p,25,True
"Televisor Lg Uhd Tv 50"" 4K Thinq Ai 50Ut7300",4K Procesador Inteligente a5 generación 7webOS 24 Smart TVPantalla 4K UHD,1199.0,Tecnología,https://www.metro.pe/televisor-lg-uhd-tv-50-4k-thinq-ai-50ut7300-1016702/p,43,True
"Televisor TCL 50"" Qled Smart Google Tv 50C655","No aplica para retiro en tienda. Sólo delivery.Conectividad: Wifi+BluetoothFuncion destacada: MEMC, HDMI 2.1,PROCESADOR AIPQ 3.0Tecnologia de Imagen HDR 10 +",1099.0,Tecnología,https://www.metro.pe/televisor-tlc-50-qled-smart-google-tv-50c655-1013457/p,33,True
Laptop Lenovo Intel Core i5 8Gb 512Gb SSD Ideapad Slim 3i 15.6'',Camara FHD con obturador de privacidadTeclado estandar en españolParlantes optimizados con Dolby Audio,1899.0,Tecnología,https://www.metro.pe/laptop-lenovo-intel-core-i5-8gb-512gb-ssd-ideapad-slim-3-12-gen-15-6-1006851/p,32,True
Tablet Lenovo M11 128Gb Wifi Android 13 11,No aplica para retiro en tienda. Sólo delivery.Inicio de sesión rápido y seguroAltavoces estéreo dualesPreparada el futuro,699.0,Tecnología,https://www.metro.pe/tablet-lenovo-m11-128gb-wifi-android-13-11-1025537/p,16,True
Mochila Kuzler Ligera de Viaje,No aplica para retiro en tienda. Sólo delivery.Porta laptopEspecial para viajesDiseño ligero para caminatas largas,129.0,Tecnología,https://www.metro.pe/mochila-kuzler-ligera-de-viaje-1019182/p,10,True
Pack PS5 Slim Digital + 2 Juegos,No aplica para retiro en tienda. Sólo delivery.Diseño slim1 TB de almacenamientoSSD de ultra alta velocidad,2449.0,Tecnología,https://www.metro.pe/pack-ps5-slim-digital-2-juegos-1012841/p,39,True
Smart TV 55'' Samsung QLED 4K Q60D Tizen OS (2024),No aplica para retiro en tienda. Sólo delivery.Tecnología Dual LEDTecnología Quantum DotOTS Lite,1499.0,Tecnología,https://www.metro.pe/smart-tv-55-samsung-qled-4k-q60d-tizen-os-2024-1015445/p,22,True
"Televisor TCL 32"" HD Smart Android Tv 32S4500A",No aplica para retiro en tienda. Sólo delivery.Android tvDolby audioConectividad: Wifi,499.0,Tecnología,https://www.metro.pe/televisor-tcl-32-hd-smart-android-tv-32s4500a-1016304/p,7,True
"Televisor TCL Smart TV 55"" UHD Google 55P635","No aplica para retiro en tienda. Sólo delivery.Tamaño de Pantalla: 55""Otro Sistema OperativoAsistente Virtual: Google Assistant",1099.0,Tecnología,https://www.metro.pe/televisor-tcl-smart-tv-55-uhd-google-55p635-1000034/p,35,True
Notebook HP Hp 15-Fd0048La I5 8Gb 512Gb W11 Silver,No aplica para retiro en tienda. Sólo delivery.Procesador: Intel Core i5Generación Procesador: Doceava GeneraciónCapacidad Disco Duro: 512 GB,1999.0,Tecnología,https://www.metro.pe/notebook-hp-hp-15-fd0048la-i5-8gb-512gb-w11-silver-1025865/p,9,True
Torre de sonido LG XBOOM RNC5 Multi-Bluetooth Karaoke Star,No aplica para retiro en tienda. Sólo delivery.Bass Blast+Iluminación de altavoces multicolorFunción de DJRNC5.DPERLLK,649.0,Tecnología,https://www.metro.pe/torre-de-sonido-lg-xboom-rnc5-multi-bluetooth-karaoke-star-989593/p,31,True
"Televisor LG Uhd Tv 55"" 4K Thinq Ai 55Ut7300",4K Procesador Inteligente a5 generación 7webOS 24 Smart TVPantalla 4K UHD,1799.0,Tecnología,https://www.metro.pe/televisor-lg-uhd-tv-55-4k-thinq-ai-55ut7300-1016703/p,40,True
Smart TV 75 Samsung Crystal UHD DU8000 4K Tizen OS (2024),No aplica para retiro en tienda. Sólo delivery.Escalador de imagen 4KDiseño Ultra DelgadoDynamic Crystal Color,2999.0,Tecnología,https://www.metro.pe/smart-tv-75-samsung-crystal-uhd-du8000-4k-tizen-os-2024-1018456/p,13,True
Notebook HP Intel Core i3 15-FD0026LA 512GB|8GB,"Enfrenta el día, todos los díasProductividad que se adapta a tu ritmo de  vidaconfiable para que mantengas la  concentración",1449.0,Tecnología,https://www.metro.pe/notebook-hp-intel-core-i3-15-fd0026la-512gb-8gb-1029920/p,35,True
Smartphone 14C 256GB|4GB Redmi Starry Blue,No aplica para retiro en tienda. Sólo delivery.Gran pantalla inmersiva que brinda claridad y comodidad  visitaRendimiento fluido para las tareas diariasCámara versátil para explorar nuevos reinos de creatividad,499.0,Tecnología,https://www.metro.pe/smartphone-14c-256gb-4gb-redmi-starry-blue/p,19,True
"Laptop Lenovo LOQ Intel Core i5 12va Gen. 8GB RAM 512GB SSD 15.6""","No aplica para retiro en tienda. Sólo delivery.Pantalla 15.6"" Full HDTipo de Tarjeta: NVIDIA® GeForce RTX 3050 (6GB) Procesador: Intel® Core i5-12450HX",3099.0,Tecnología,https://www.metro.pe/laptop-lenovo-loq-intel-core-i5-12va-gen-8gb-ram-512gb-ssd-15-6-1013454/p,39,True
Tablet Lenovo M9 4Gb 64Gb Wifi Android 12 9'',No aplica para retiro en tienda. Sólo delivery.Mira y haz más durante más tiempo con una batería de larga duraciónAltavoces estéreo dualesPreparada para el futuro con tres años de actualizaciones de seguridad,519.0,Tecnología,https://www.metro.pe/tablet-lenovo-m9-4gb-64gb-wifi-android-12-9-1025536/p,7,True
"Televisor TCL 55"" Qled Smart Google 55C655",No aplica para retiro en tienda. Sólo delivery.120 hz vrr game acceleratorSonido onkyoDolby visión atmos,1399.0,Tecnología,https://www.metro.pe/televisor-tcl-55-qled-smart-google-55c655-1013458/p,14,True
Laptop Lenovo Intel Core i3 8Gb 512Gb SSD Ideapad Slim 3i 15.6'',Camara FHD con obturador de privacidadTeclado estandar en españolParlantes optimizados con Dolby Audio,1299.0,Tecnología,https://www.metro.pe/laptop-lenovo-intel-core-i3-8gb-512gb-ssd-ideapad-slim-3-12-gen-15-6-1004699/p,36,True
Torre de sonido LG XBOOM RNC9 Multi-Bluetooth Karaoke Star,No aplica para retiro en tienda. Sólo delivery.Bass Blast+Iluminación de altavoces multicolorFunción de DJRNC9.DPERLLK,1099.0,Tecnología,https://www.metro.pe/torre-de-sonido-lg-xboom-rnc9-multi-bluetooth-karaoke-star-989595/p,20,True
Notebook Asus FA506NF-HN005W,No aplica para retiro en tienda. Sólo delivery.Acelera tus victoriasLa experiencia gaming definitivaCompite al máximo nivel donde quieras,2849.0,Tecnología,https://www.metro.pe/notebook-asus-fa506nf-hn005w-1019445/p,12,True
"Notebook HP 15.6"" 15-FB2002LA 512GB+8GB",No aplica para retiro en tienda. Sólo delivery.Generación Procesador: Serie 8000Procesador: Intel Core i5Capacidad Disco Duro: 512GB|Memoria RAM: 8GB,3199.0,Tecnología,https://www.metro.pe/notebook-hp-15-6-15-fb2002la-512gb-8gb-1023773/p,18,True
"Televisor LG Uhd Tv 65"" 4K Thinq Ai 65Ut7300",4K Procesador Inteligente a5 generación 7webos 24 Smart TVPantalla 4K UHD,1799.0,Tecnología,https://www.metro.pe/televisor-lg-uhd-tv-65-4k-thinq-ai-65ut7300-1016704/p,23,True
"Notebook Lenovo Ideapad Slim 3i  CI7-13VA 16G 512G 14"" FHD",Camara FHD con Obturador de privacidadteclado IluminadoParlantes optimizados con Dolby Audio,2599.0,Tecnología,https://www.metro.pe/notebook-lenovo-ideapad-slim-3i-ci7-13va-16g-512g-14-fhd-1017590/p,28,True
Tablet Xiaomi 128GB|4GB Redmi Pad Se 1TB,No aplica para retiro en tienda. Sólo delivery.Procesador: Qualcomm Snapdragon 680tarjeta de Memoria: MicroSDCapacidad de Disco Duro: 128 GB,629.0,Tecnología,https://www.metro.pe/tablet-xiaomi-redmi-pad-se-11-128gb-4gb-1026978/p,36,True
Smartphone Galaxy A16 8Gb 256Gb + Ta15W Black Samsung,Organización de espacios.Ordena y mejora el aspecto de tu casa.Mejorar la estética de tu sala de estar o espacio de entretenimiento.,899.0,Tecnología,https://www.metro.pe/smartphone-galaxy-a16-8gb-256gb-ta15w-black-samsung-1029798/p,29,True
"Laptop Asus TUF Gaming FX507ZC4 15.6"" Intel i5 512G 8GB Mecha Gray","Pantalla FHD (1920x1080 px) de 15.6""Capacidad de disco duro: 512GBProcesador Intel Core i5-12500H 2.5GhzMemoria RAM 8GB DDR4Tarjeta de video: NVIDIA GeForce RTX 3050 4GB GDDR6",3299.0,Tecnología,https://www.metro.pe/laptop-asus-tuf-gaming-fx507zc4-15-6-intel-i5-512g-8gb-mecha-gray-990978/p,46,True
Pack PS5 Slim Standard + 2 Juegos,No aplica para retiro en tienda. Sólo delivery.Diseño slim1 TB de almacenamientoSSD de ultra alta velocidad,2699.0,Tecnología,https://www.metro.pe/pack-ps5-slim-standard-2-juegos-1012840/p,7,True
